,Team Name,Team Members,Team Competitions,Team Event,Team Contingent,Team Final Position
25,AB,"Taylor Althouse, Joel Demaere, Nathan Demaere, Nicholas Gagnon, Katsuo Leung, Douglas O'Brien, Sasha Tanasiuk","Match 04, Match 12, Match 07",Judo Team Competition Male,Alberta,Bronze
26,AB,"Emma Bragg, Montana Fairbairn, Liz Holmstrom, Jada Mazury, Madison Tansowny, Bryn Topham","Beam - 1, Uneven Bars - 1, Beam - 2, Uneven Bars - 2, Beam - 3, Uneven Bars - 3, Floor - 1, Vault - 1, Floor - 2, Vault - 2, Floor - 3, Vault - 3",Gymnastics Artistic - Team Event Female,Alberta,Bronze
27,AB,"Mathias Bathe, Benjamin Côté, Matej Pederson, Neithan Thomas, Brendan Yamada","Relay Heat 51B, Relay Final 53A",Speed Skating Short Track - Team Relay Male,Alberta,Silver
28,AB,"Ivy Bao, Daniel Jiang","Encounter 1B, Encounter 208, Encounter 214, Encounter 3B, Encounter 211, Bronze Medal",Table Tennis Doubles Mix,Alberta,Bronze
29,AB,"Paul Coderre, Max Halyk, Joshua Hathaway, Kaleb Muller",Finals,Speed Skating Long Track - Team Pursuit Male,Alberta,Gold
30,AB-A,"Reed Godfrey, Issy Hendry, Samuel Hendry, Anna Pryce",Race,Cross Country Skiing Relay Mix,Alberta,Bronze
31,AB-B,"Maya Fish, Luke Fricker, Rhys James, Anna Parent",Race,Cross Country Skiing Relay Mix,Alberta,7
32,Arseneault/GIllies,"Sydney Arseneault, Anna Gillies","Match 82, QF 04",Badminton Doubles Female,New Brunswick,5
33,Ashevak/Kilabuk,"Lerena Ashevak, Megan Kilabuk",Match 80,Badminton Doubles Female,Nunavut,9
34,Au/Knickle,"Austin Meng Au, Carl Knickle",Match 65,Badminton Doubles Male,Yukon,9
35,Aylesworth/Lambert-Wilson,"Kaitlyn Aylesworth, Mara Lambert-Wilson","Technical Routine, Free Routine, Technical Routine, Free Routine",Artistic Swimming Duet Female,British Columbia,13
36,Baker/Beach,"Maria Baker, Emma Beach","Technical Routine, Free Routine, Technical Routine, Free Routine",Artistic Swimming Duet Female,Newfoundland and Labrador,8
37,Bauer/Lee,"Austin Bauer, Kevin Lee","Match 71, SF 01, QF 02, Gold Medal Match",Badminton Doubles Male,Alberta,Gold
38,BC,"Kenny Kun Jiang, Steve Wang","Encounter 2A, Encounter 1A, Encounter 3A, Gold Medal",Table Tennis Doubles Male,British Columbia,Silver
39,BC,,Race,Biathlon 3 x 6 km Relay Female,British Columbia,Bronze
40,BC,"Emma Chylinski, Spencer Gamache","Total of Round 1 and Round 2, Round 2, Round 1, Elimination 004",Archery Compound - Team Mix,British Columbia,8
41,BC,"Kenny Kun Jiang, David Hong Lin, Steve Wang","Encounter 2A, Encounter 214, Encounter 3A, Bronze Medal",Table Tennis Team Male,British Columbia,Bronze
42,BC,"Gavin Dodd, Declan McLean","Routine 1, Final Routine, Routine 2",Gymnastics Trampoline - Synchro Male,British Columbia,6
